שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
ינוב,753,YANUV,4,41,411,18,141,1,930,930,918,,1950,310,1,1954569033,46,412,15000060,2020,Yanuv,410
ינון,2011,YINNON,6,61,611,33,143,1,1213,1211,1207,2,1952,310,1,1793762785,66,616,10001821,2020,Yinnon,420
יסוד המעלה,29,YESUD HAMA'ALA,2,21,211,99,,1,1761,1761,1727,,1883,350,,2566777360,95,259,10004540,2020,Yesud HaMa'ala,211
יסודות,440,YESODOT,4,44,441,31,143,1,992,992,992,,1948,320,8,1873363588,100,456,15002488,2020,Yesodot,420
יסעור,575,YAS'UR,2,24,246,4,241,1,883,878,861,5,1949,330,15,2158075625,22,201,10004315,2020,Yas'ur,212
יעד,1138,YA'AD,2,24,241,56,241,1,695,695,694,,1975,310,1,2230275382,257,205,10004513,2020,Ya'ad,210
יעל,1117,YA'EL,2,23,234,8,,,,,,,,510,,2291971752,71,204,10004394,2020,Ya'el,213
יעף,1044,YE'AF,4,41,411,18,141,1,309,309,308,,1968,350,,1970268605,56,412,15000060,2020,Ye'af,410
יערה,795,YA'ARA,2,24,244,52,,1,749,632,615,117,1950,310,1,2176977466,162,255,10004302,2020,Ya'ara,212
"יערות גבעת המורה מ""א 9",1863,,2,23,234,9,,,,,,,,530,,2404072680,,,,2020,,213
יפיע,499,YAFI,2,25,237,99,,2,19301,9,2,19291,,270,,2261573224,293,257,10004426,2020,Yafi,213
יפית,3566,YAFIT,7,75,,75,,1,218,218,209,,1980,310,1,2449066340,-244,712,10003299,2020,Yafit,710
יפעת,134,YIF'AT,2,23,234,9,,1,1204,1199,1176,5,1926,330,15,2213773137,127,254,10004411,2020,Yif'at,213
יפתח,453,YIFTAH,2,21,212,1,,1,582,582,531,,1948,330,15,2518578154,419,253,10004591,2020,Yiftah,211
יצהר,3749,YIZHAR,7,72,,72,,1,1838,1838,1838,,1983,370,11,2225767495,760,710,15004488,2020,Yizhar,
יציץ,759,YAZIZ,4,43,432,30,143,1,837,837,815,,1950,310,1,1868964119,72,426,10002241,2020,Yaziz,
יקום,417,YAQUM,4,41,411,19,141,1,774,774,747,,1947,330,15,1853068397,15,401,15000060,2020,Yaqum,
יקיר,3647,YAQIR,7,73,,72,145,1,2368,2368,2368,,1981,190,11,2108767292,397,710,15004488,2020,Yaqir,
יקנעם (מושבה),241,YOQNE'AM(MOSHAVA),2,23,235,13,,1,1384,1384,1346,,1935,310,10,2110572892,59,254,10004411,2020,Yoqne'am(Moshava),213
יקנעם עילית,240,YOQNE'AM ILLIT,2,23,235,0,223,1,24091,24075,21826,16,1950,160,,2091772807,153,222,10004411,2020,Yoqne'am Illit,310
יראון,623,YIR'ON,2,24,244,1,,1,403,403,354,,1949,330,15,2428777582,679,253,10004528,2020,Yir'on,211
ירדנה,2026,YARDENA,2,23,231,7,,1,359,359,359,,1952,310,1,2532871906,-236,202,10004568,2020,Yardena,214
ירוחם,831,YEROHAM,6,62,626,99,,1,10773,10438,9684,335,1951,170,,1930754414,518,612,10001918,2020,Yeroham,610
ירושלים,3000,JERUSALEM,1,11,111,0,410,4,951149,584352,570099,366797,ותיק,120,,2209463224,715,101,10002489,2020,Jerusalem,
ירחיב,718,YARHIV,4,42,421,20,142,1,1096,1096,1087,,1949,310,1,1971367328,56,417,15000658,2020,Yarhiv,410
ירכא,502,YIRKA,2,24,243,99,,2,17405,72,63,17333,,270,,2197376222,252,252,15002143,2020,Yirka,
ירקונה,183,YARQONA,4,42,421,20,142,1,368,368,365,,1932,310,1,1906367246,29,417,10002133,2020,Yarqona,410
ישע,916,YESHA,6,62,622,38,,1,426,426,410,,1957,310,1,1430657316,119,651,10001893,2020,Yesha,620
ישעי,805,YISH'I,1,11,112,26,444,1,806,806,805,,1950,310,2,1968262879,196,151,15000597,2020,Yish'i,
ישרש,828,YASHRESH,4,43,432,30,143,1,991,991,986,,1950,310,1,1857564697,80,426,10002228,2020,Yashresh,
יתד,1227,YATED,6,62,622,38,,1,537,537,516,,1981,310,1,1358356863,83,651,10001893,2020,Yated,620
כאבול,504,KABUL,2,24,241,99,241,2,14243,13,6,14230,,270,,2198575279,77,263,15002411,2020,Kabul,
כאוכב אבו אל-היג'א,505,KAOKAB ABU AL-HIJA,2,24,241,99,241,2,3668,4,1,3664,,290,,2236074842,368,261,10004513,2020,Kaokab Abu Al-Hija,
כברי,576,KABRI,2,24,245,4,,1,1068,1065,1042,3,1949,330,15,2142776959,95,201,10004302,2020,Kabri,212
כדורי,371,KADOORIE,2,22,222,3,,1,202,173,111,30,1931,340,,2383373428,121,206,10004552,2020,Kadoorie,214
כדיתה,1338,KADDITA,2,21,212,2,,1,190,190,178,,2009,370,10,2437276776,766,209,10004528,2020,Kaddita,211
כוכב השחר,3564,KOKHAV HASHAHAR,7,74,,73,445,1,2450,2450,2450,,1977,190,11,2330665192,574,711,10003299,2020,Kokhav HaShahar,710
כוכב יאיר,1224,KOKHAV YA'IR,4,42,421,99,141,1,8735,8720,8633,15,1981,180,,1997868091,95,455,10004769,2020,Kokhav Ya'ir,410
כוכב יעקב,3779,KOKHAV YA'AQOV,7,74,,73,445,1,9116,9116,9113,,1985,180,,2231064307,758,711,10003299,2020,Kokhav Ya'aqov,710
כוכב מיכאל,824,KOKHAV MIKHA'EL,6,61,614,36,,1,1090,1090,1070,,1950,310,1,1686461535,94,633,10001829,2020,Kokhav Mikha'el,
כורזים,1252,KORAZIM,2,21,213,55,,1,335,332,324,3,1983,350,7,2518675737,173,253,10004540,2020,Korazim,211
כחל,1210,KAHAL,2,21,212,55,,1,464,464,448,,1980,310,1,2481075513,100,253,10004540,2020,Kahal,211
כחלה,1367,KOCHLEA,6,62,623,69,,2,439,,,439,,450,,2050657758,532,624,10001937,2020,Kochlea,610
כיסופים,840,KISSUFIM,6,62,622,38,,1,286,285,252,2,1951,330,15,1428458732,85,651,10001893,2020,Kissufim,620
כישור,1153,KISHOR,2,24,243,56,,1,213,212,211,1,1976,330,15,2237176123,482,205,15002358,2020,Kishor,210
כליל,1183,KELIL,2,24,243,4,,1,784,780,753,4,1979,370,10,2191176514,179,201,10004302,2020,Kelil,212
כלנית,1229,KALLANIT,2,21,214,2,,1,251,251,250,,1981,310,2,2429675339,17,209,10004552,2020,Kallanit,211
כמאנה,1331,KAMANE,2,24,242,56,,2,1570,,,1570,,450,,2331475759,524,205,10004465,2020,Kamane,210
כמהין,1291,KEMEHIN,6,62,626,48,,1,247,247,227,,1988,310,1,1455653579,225,620,10001918,2020,Kemehin,610
כמון,1201,KAMMON,2,24,242,56,,1,1403,1403,1369,,1980,370,7,2340075748,557,205,10004465,2020,Kammon,210
כנות,2006,KANNOT,6,61,611,33,143,1,454,442,378,12,1952,340,,1766263444,69,616,10001821,2020,Kannot,420
כנף,4028,KANAF,2,29,293,71,,1,470,470,468,,1991,310,1,2658275286,294,219,10004579,2020,Kanaf,211
כנרת (מושבה),63,KINNERET(MOSHAVA),2,22,221,6,,1,694,674,654,20,1909,350,,2532173672,-71,214,10004552,2020,Kinneret(Moshava),214
כנרת (קבוצה),57,KINNERET(QEVUZA),2,22,221,6,,1,694,694,662,,1908,330,15,2529473550,-171,214,10004552,2020,Kinneret(Qevuza),214
כסיפה,1059,KUSEIFE,6,62,623,99,,2,22484,11,1,22474,,260,,2084257246,466,652,15003711,2020,Kuseife,610
כסלון,859,KESALON,1,11,111,26,444,1,470,470,459,,1952,310,10,2047663127,608,151,15000597,2020,Kesalon,
כסרא-סמיע,1296,KISRA-SUMEI,2,24,243,99,,2,8965,2,,8963,,280,,2287876386,624,255,10004484,2020,Kisra-Sumei,
כעביה-טבאש-חג'אג'רה,978,KA'ABIYYE-TABBASH-HAJAJRE,2,25,237,99,242,2,5624,14,14,5610,,280,,2176673949,164,254,10004411,2020,Ka'abiyye-Tabbash-Hajajre,
כפר אביב,857,KEFAR AVIV,4,44,441,32,143,1,835,834,826,1,1951,310,10,1736963771,43,456,15002488,2020,Kefar Aviv,
כפר אדומים,3638,KEFAR ADUMMIM,7,74,,73,445,1,4785,4785,4773,,1979,190,,2321863714,288,711,10003314,2020,Kefar Adummim,710
כפר אוריה,364,KEFAR URIYYA,1,11,112,26,444,1,919,914,897,5,1944,310,1,1951063335,199,151,15000597,2020,Kefar Uriyya,
כפר אחים,690,KEFAR AHIM,6,61,611,33,143,1,888,888,877,,1949,310,1,1770562808,53,616,10001821,2020,Kefar Ahim,420
כפר ביאליק,220,KEFAR BIALIK,3,31,311,12,222,1,845,843,799,2,1934,310,,2084074741,10,301,10004207,2020,Kefar Bialik,310
"כפר ביל""ו",177,KEFAR BILU,4,44,441,30,143,1,1269,1269,1248,,1932,310,1,1836164227,63,426,10002241,2020,Kefar Bilu,
כפר בלום,357,KEFAR BLUM,2,21,211,1,,1,782,782,746,,1943,330,15,2571678650,76,253,10004591,2020,Kefar Blum,211
כפר בן נון,2010,KEFAR BIN NUN,4,43,432,30,143,1,732,732,723,,1952,310,10,1951064104,150,426,10002228,2020,Kefar Bin Nun,
כפר ברא,633,KAFAR BARA,4,42,422,99,142,2,3754,2,,3752,,290,,1974067087,108,451,15000658,2020,Kafar Bara,410
כפר ברוך,132,KEFAR BARUKH,2,23,234,9,,1,615,615,607,,1926,310,1,2181972796,55,254,10004411,2020,Kefar Barukh,213
כפר גדעון,106,KEFAR GID'ON,2,23,234,9,,1,335,335,332,,1923,310,19,2276072774,90,254,10004394,2020,Kefar Gid'on,213
כפר גלים,427,KEFAR GALLIM,3,32,321,15,223,1,387,371,225,16,1952,340,,1964574131,18,399,10004710,2020,Kefar Gallim,
כפר גליקסון,310,KEFAR GLIKSON,3,32,324,14,,1,347,347,344,,1939,330,6,2006571239,61,351,10004333,2020,Kefar Glikson,
כפר גלעדי,76,KEFAR GIL'ADI,2,21,211,1,,1,686,686,648,,1916,330,15,2539479418,326,253,10004591,2020,Kefar Gil'adi,211
כפר דניאל,707,KEFAR DANIYYEL,4,43,431,25,142,1,698,698,687,,1949,320,15,1937364901,98,424,10002261,2020,Kefar Daniyyel,
כפר האורנים,3796,KEFAR HAORANIM,7,74,,73,,1,2614,2614,2603,,1998,190,,2036264742,300,711,10004054,2020,Kefar HaOranim,710
כפר החורש,192,KEFAR HAHORESH,2,23,237,9,,1,725,706,691,19,1933,330,15,2258873404,401,254,10004411,2020,Kefar HaHoresh,213
כפר המכבי,254,KEFAR HAMAKKABBI,3,31,311,12,222,1,402,401,400,1,1936,330,15,2111674393,28,301,10004207,2020,Kefar HaMakkabbi,310
כפר הנגיד,582,KEFAR HANAGID,4,44,442,27,143,1,1241,1241,1226,,1949,310,1,1764264395,20,456,15002488,2020,Kefar HaNagid,
כפר הנוער הדתי,890,KEFAR HANO'AR HADATI,3,31,311,12,222,1,376,376,262,,1937,340,,2095073872,44,301,10004207,2020,Kefar HaNo'ar Hadati,310
כפר הנשיא,443,KEFAR HANASI,2,21,213,1,,1,961,959,922,1,1948,330,15,2567576448,265,253,10004540,2020,Kefar HaNasi,211
כפר הס,187,KEFAR HESS,4,41,411,18,141,1,1595,1595,1579,,1933,310,1,1939568366,73,412,15000060,2020,Kefar Hess,410
"כפר הרא""ה",217,KEFAR HARO'E,4,41,411,16,141,1,1475,1475,1474,,1934,310,2,1919269967,23,409,15000060,2020,Kefar HaRo'e,
"כפר הרי""ף",888,KEFAR HARIF,6,61,611,35,,1,834,834,809,,1956,310,10,1804562817,70,632,10001821,2020,Kefar Harif,420
כפר ויתקין,190,KEFAR VITKIN,4,41,411,16,141,1,1963,1961,1942,2,1933,310,,1887269868,14,409,15000060,2020,Kefar Vitkin,
כפר ורבורג,320,KEFAR WARBURG,6,61,611,33,143,1,1147,1147,1131,,1939,310,1,1741762527,54,616,10001821,2020,Kefar Warburg,420
כפר ורדים,1263,KEFAR WERADIM,2,24,243,99,,1,5492,5313,5078,178,1984,180,,2255076676,533,255,10004484,2020,Kefar Weradim,212
כפר זוהרים,1325,KEFAR ZOHARIM,1,11,112,26,,1,148,148,148,,1995,340,,1929261436,311,151,15000597,2020,Kefar Zoharim,
כפר זיתים,786,KEFAR ZETIM,2,22,222,3,,1,796,795,795,1,1950,310,1,2437174638,52,206,10004552,2020,Kefar Zetim,214
"כפר חב""ד",696,KEFAR HABAD,4,43,432,40,133,1,6733,6733,6728,,1949,180,,1859765528,40,425,10002207,2020,Kefar Habad,
כפר חושן,609,KEFAR HOSHEN,2,21,212,2,,1,791,791,788,,1949,310,1,2413676858,738,209,10004528,2020,Kefar Hoshen,211
כפר חיטים,255,KEFAR HITTIM,2,22,222,3,,1,606,606,604,,1936,320,1,2473974519,32,206,10004552,2020,Kefar Hittim,214
כפר חיים,193,KEFAR HAYYIM,4,41,411,16,141,1,635,634,629,1,1933,310,1,1908269563,24,409,15000060,2020,Kefar Hayyim,
כפר חנניה,1297,KEFAR HANANYA,2,21,212,2,,1,762,762,744,,1990,370,2,2399275781,326,209,10004465,2020,Kefar Hananya,211
כפר חסידים א',112,KEFAR HASIDIM ALEF,3,31,311,12,222,1,837,828,817,9,1924,310,19,2089873955,14,301,10004207,2020,Kefar Hasidim Alef,310
כפר חסידים ב',889,KEFAR HASIDIM BET,3,31,311,12,222,1,305,304,288,1,1950,350,,2084973948,17,301,10004207,2020,Kefar Hasidim Bet,310
כפר חרוב,4004,KEFAR HARUV,2,29,294,71,,1,455,455,449,,1974,330,15,2624574099,310,219,10004579,2020,Kefar Haruv,211
כפר טרומן,673,KEFAR TRUMAN,4,43,432,25,142,1,875,875,855,,1949,310,1,1929765418,56,424,10002168,2020,Kefar Truman,
כפר יאסיף,507,KAFAR YASIF,2,24,245,99,,2,10244,21,8,10223,,270,,2155876210,58,252,15002143,2020,Kafar Yasif,
כפר ידידיה,233,KEFAR YEDIDYA,4,41,411,16,141,1,734,734,729,,1935,310,1,1906569469,24,409,15000060,2020,Kefar Yedidya,
כפר יהושע,140,KEFAR YEHOSHUA,2,23,235,9,,1,1223,1223,1186,,1927,310,1,2145673200,47,254,10004411,2020,Kefar Yehoshua,213
כפר יונה,168,KEFAR YONA,4,41,411,0,141,1,26182,26171,25393,11,1932,160,,1938369132,42,430,15000060,2020,Kefar Yona,
כפר יחזקאל,85,KEFAR YEHEZQEL,2,23,232,8,,1,1214,1213,1180,1,1921,310,1,2340371922,6,204,10004394,2020,Kefar Yehezqel,213
כפר יעבץ,170,KEFAR YA'BEZ,4,41,411,18,141,1,683,683,682,,1932,310,2,1969468679,51,412,15000060,2020,Kefar Ya'bez,410
כפר כמא,508,KAFAR KAMA,2,22,222,99,,2,3426,12,9,3414,,290,,2415773638,209,251,10004552,2020,Kafar Kama,214
כפר כנא,509,KAFAR KANNA,2,25,237,99,,2,23265,18,10,23247,,260,,2323473905,229,257,15002369,2020,Kafar Kanna,213
כפר מונש,387,KEFAR MONASH,4,41,411,16,141,1,941,941,921,,1946,310,1,1923169488,17,409,15000060,2020,Kefar Monash,
כפר מימון,1095,KEFAR MAYMON,6,62,621,39,,1,419,419,419,,1959,310,2,1558959355,99,651,10001930,2020,Kefar Maymon,620
"כפר מל""ל",98,KEFAR MALAL,4,42,421,20,131,1,325,325,319,,1922,310,1,1901767499,63,417,10002133,2020,Kefar Malal,410
כפר מנדא,510,KAFAR MANDA,2,24,241,99,,2,20622,11,5,20611,,260,,2247174613,178,261,10004513,2020,Kafar Manda,
כפר מנחם,274,KEFAR MENAHEM,6,61,611,35,,1,1345,1345,1318,,1937,330,15,1842462639,110,632,10001821,2020,Kefar Menahem,420
כפר מסריק,297,KEFAR MASARYK,2,24,246,4,241,1,869,869,842,,1938,330,15,2097075506,4,201,10004315,2020,Kefar Masaryk,212
כפר מצר,512,KAFAR MISR,2,25,233,66,,2,2778,2,,2775,,290,,2398772793,113,251,10004394,2020,Kafar Misr,213
כפר מרדכי,764,KEFAR MORDEKHAY,4,44,441,32,143,1,656,656,653,,1950,310,10,1769063771,41,456,15002488,2020,Kefar Mordekhay,
כפר נטר,316,KEFAR NETTER,4,41,411,19,141,1,1158,1158,1140,,1939,310,10,1881168690,24,401,15000060,2020,Kefar Netter,
כפר סאלד,345,KEFAR SZOLD,2,21,211,1,,1,689,688,655,1,1942,330,15,2617578900,120,253,10004591,2020,Kefar Szold,211
כפר סבא,6900,KEFAR SAVA,4,42,421,0,131,1,101830,101636,97767,194,1903,140,,1919367644,52,405,10002133,2020,Kefar Sava,410
כפר סילבר,107,KEFAR SILVER,6,61,614,36,,1,399,381,309,18,1957,340,,1632562022,55,633,10001821,2020,Kefar Silver,
כפר סירקין,249,KEFAR SIRKIN,4,42,422,20,142,1,1528,1528,1513,,1936,310,,1929966488,41,417,10002116,2020,Kefar Sirkin,410
כפר עבודה,875,KEFAR AVODA,4,41,411,18,141,1,225,224,224,1,1942,340,,1946168478,70,412,15000060,2020,Kefar Avoda,410
כפר עזה,845,KEFAR AZZA,6,61,614,37,,1,742,741,721,1,1951,330,15,1555559925,89,651,10001829,2020,Kefar Azza,620
כפר עציון,3488,KEFAR EZYON,7,76,,76,445,1,1203,1161,1161,42,1967,330,3,2110361745,934,714,15000586,2020,Kefar Ezyon,
כפר פינס,189,KEFAR PINES,3,32,324,14,,1,1088,1088,1085,,1933,310,2,2004671000,60,351,10004261,2020,Kefar Pines,
כפר קאסם,634,KAFAR QASEM,4,42,422,0,142,2,24256,39,12,24218,,260,,1976966909,84,451,15000658,2020,Kafar Qasem,410
כפר קיש,388,KEFAR KISCH,2,22,222,3,,1,663,656,650,7,1946,310,1,2424073031,85,206,10004394,2020,Kefar Kisch,214
כפר קרע,654,KAFAR QARA,3,32,323,99,,2,19294,25,3,19270,,270,,2050971240,109,354,10004233,2020,Kafar Qara,
כפר ראש הנקרה,579,KEFAR ROSH HANIQRA,2,24,245,4,,1,1377,1376,1352,1,1949,330,15,2110577679,32,201,10004302,2020,Kefar Rosh HaNiqra,212
כפר רוזנואלד (זרעית),1130,KEFAR ROZENWALD(ZARIT),2,24,244,52,,1,244,244,244,,1967,310,1,2272977831,620,255,10004302,2020,Kefar Rozenwald(Zarit),212
כפר רופין,295,KEFAR RUPPIN,2,23,231,7,,1,532,531,519,1,1938,330,15,2525770713,-246,202,10004568,2020,Kefar Ruppin,214
כפר רות,1166,KEFAR RUT,4,43,431,25,142,1,272,272,263,,1977,310,1,2030264634,286,424,10002277,2020,Kefar Rut,
כפר שמאי,605,KEFAR SHAMMAY,2,21,212,2,,1,574,574,574,,1949,310,2,2430876244,637,209,10004528,2020,Kefar Shammay,211
כפר שמואל,743,KEFAR SHEMU'EL,4,43,432,30,143,1,958,958,943,,1950,310,6,1937164417,107,426,10002228,2020,Kefar Shemu'el,
כפר שמריהו,267,KEFAR SHEMARYAHU,5,51,511,99,121,1,1925,1909,1840,17,1937,350,,1833067703,31,504,10001605,2020,Kefar Shemaryahu,
כפר תבור,47,KEFAR TAVOR,2,22,222,99,,1,4400,4380,4277,21,1901,190,,2397273250,102,251,10004394,2020,Kefar Tavor,214
כפר תפוח,3572,KEFAR TAPPUAH,7,73,,72,,1,1473,1473,1472,,1978,370,2,2237366944,653,710,15004488,2020,Kefar Tappuah,
כרכום,1285,KARKOM,2,21,213,55,,1,528,528,517,,1988,370,13,2571975949,96,253,10004540,2020,Karkom,211
כרם בן זמרה,664,KEREM BEN ZIMRA,2,21,212,2,,1,530,530,529,,1949,310,2,2440077147,822,209,10004528,2020,Kerem Ben Zimra,211
כרם בן שמן,88,KEREM BEN SHEMEN,4,43,432,25,142,1,82,82,82,,1958,350,,1938065173,80,424,10002261,2020,Kerem Ben Shemen,
כרם יבנה (ישיבה),1094,KEREM YAVNE(YESHIVA),4,44,441,29,143,1,529,529,529,,1963,340,,1738163628,50,456,10001821,2020,Kerem Yavne(Yeshiva),420
"כרם מהר""ל",580,KEREM MAHARAL,3,32,322,15,243,1,783,773,759,10,1949,310,1,1993872798,93,303,10004333,2020,Kerem Maharal,
כרם שלום,1085,KEREM SHALOM,6,62,622,38,,1,191,180,172,11,1956,330,15,1317857105,87,651,10001893,2020,Kerem Shalom,620
כרמי יוסף,1264,KARME YOSEF,4,43,432,30,143,1,1723,1723,1707,,1984,350,,1925663946,222,426,10002228,2020,Karme Yosef,
כרמי צור,3766,KARME ZUR,7,77,,76,,1,995,995,992,,1984,370,2,2096161296,935,714,15000586,2020,Karme Zur,
כרמי קטיף,1374,KARME KATIF,6,61,612,50,,1,611,611,611,,2016,370,,1916760508,338,634,10001813,2020,Karme Katif,
כרמיאל,1139,KARMI'EL,2,24,242,0,,1,46122,44482,36727,1640,1964,160,,2276275734,270,208,10004465,2020,Karmi'el,210
כרמייה,768,KARMIYYA,6,61,614,36,,1,653,653,629,,1950,330,15,1565861272,29,633,10001829,2020,Karmiyya,
כרמים,1198,KERAMIM,6,62,623,41,341,1,508,508,507,,1980,330,15,1922058248,404,625,10001937,2020,Keramim,620
כרמל,3656,KARMEL,7,77,,78,,1,447,447,447,,1981,320,11,2173959328,711,715,15003512,2020,Karmel,
לבון,1207,LAVON,2,24,243,56,,1,721,721,710,,1980,350,,2271676084,566,205,15002358,2020,Lavon,210
לביא,585,LAVI,2,22,222,3,,1,615,615,613,,1949,330,3,2417174366,299,206,10004552,2020,Lavi,214
לבנים,1230,LIVNIM,2,21,214,2,,1,426,426,409,1,1982,310,1,2466175214,-54,209,10004552,2020,Livnim,211
להב,2023,LAHAV,6,62,623,41,341,1,658,657,646,1,1952,330,15,1875158754,455,625,10001937,2020,Lahav,620
להבות הבשן,380,LAHAVOT HABASHAN,2,21,211,1,,1,912,909,851,3,1945,330,15,2607878299,88,253,10004591,2020,Lahavot HaBashan,211
להבות חביבה,715,LAHAVOT HAVIVA,3,32,324,14,,1,1044,1044,1033,,1949,330,15,2010970013,43,351,15002436,2020,Lahavot Haviva,
להבים,1271,LEHAVIM,6,62,623,99,341,1,6694,6473,6338,221,1985,180,,1822358650,296,619,10001946,2020,Lehavim,
לוד,7000,LOD,4,43,432,0,133,4,80932,56789,50497,24143,1948,150,,1895465097,57,406,10002261,2020,Lod,
לוזית,52,LUZIT,1,11,112,26,,1,835,832,817,3,1955,310,1,1893162164,190,151,15000597,2020,Luzit,
לוחמי הגיטאות,595,LOHAME HAGETA'OT,2,24,245,4,241,1,783,783,768,,1949,330,15,2095076319,17,201,10004302,2020,Lohame HaGeta'ot,212
לוטם,1171,LOTEM,2,24,242,56,,1,788,738,727,50,1978,330,15,2337775423,315,205,10004513,2020,Lotem,210
לוטן,1255,LOTAN,6,62,625,53,,1,180,180,162,,1983,330,15,2081343322,123,608,10001955,2020,Lotan,610
לימן,674,LIMAN,2,24,245,4,241,1,666,665,636,1,1949,310,1,2108977386,15,201,10004302,2020,Liman,212
לכיש,24,LAKHISH,6,61,612,50,,1,791,791,781,,1955,310,1,1850560772,247,634,10001813,2020,Lakhish,
לפיד,1310,LAPPID,4,43,431,25,142,1,2359,2359,2341,,1996,190,,2032064717,268,424,10002277,2020,Lappid,
לפידות,1173,LAPPIDOT,2,24,243,52,,1,130,129,122,1,1978,310,1,2248276265,470,255,10004484,2020,Lappidot,212
לקיה,1060,LAQYE,6,62,623,99,341,2,14642,9,1,14633,,270,,1873558142,391,652,10001937,2020,Laqye,620
מאור,2055,MA'OR,3,32,324,14,,1,1436,1434,1405,1,1953,310,1,2007970341,32,351,15002436,2020,Ma'or,
מאיר שפיה,102,ME'IR SHEFEYA,3,32,322,15,,1,336,300,195,36,1923,340,,1975672190,107,303,10004333,2020,Me'ir Shefeya,
מבוא ביתר,771,MEVO BETAR,1,11,111,26,444,1,1005,1005,999,,1950,320,9,2101662554,752,151,15000597,2020,Mevo Betar,
מבוא דותן,3569,MEVO DOTAN,7,71,,72,,1,478,478,474,,1978,370,11,2166670298,314,710,15004488,2020,Mevo Dotan,
מבוא חורון,3709,MEVO HORON,7,74,,73,,1,2686,2686,2686,,1970,192,8,2034363961,243,711,10004054,2020,Mevo Horon,710
מבוא חמה,4204,MEVO HAMMA,2,29,294,71,,1,473,473,462,,1968,330,15,2617273821,348,219,10004579,2020,Mevo Hamma,211
מבוא מודיעים,1141,MEVO MODI'IM,4,43,431,25,142,1,246,246,246,,1964,370,8,1989264896,208,424,10002277,2020,Mevo Modi'im,
מבואות ים,1318,MEVO'OT YAM,4,41,411,16,141,1,369,368,343,1,1954,340,,1878270108,3,409,15000060,2020,Mevo'ot Yam,
מבואות יריחו,3825,MEVO'OT YERIHO,7,75,,75,,,,,,,,510,,2396664589,-103,712,10003299,2020,Mevo'ot Yeriho,
מבועים,1080,MABBU'IM,6,62,621,42,,1,1245,1244,1223,1,1958,350,,1671959544,169,651,10001930,2020,Mabbu'im,620
מבטחים,829,MIVTAHIM,6,62,622,38,,1,465,465,460,,1950,310,1,1435757236,129,651,10001893,2020,Mivtahim,620
מבקיעים,573,MAVQI'IM,6,61,614,36,,1,478,478,470,,1949,310,6,1599161459,57,633,10001829,2020,Mavqi'im,
מבשרת ציון,1015,MEVASSERET ZIYYON,1,11,111,99,444,1,24247,24169,23379,79,1951,160,,2144163412,719,152,10002475,2020,Mevasseret Ziyyon,
מג'ד אל-כרום,516,MAJD AL-KURUM,2,24,242,99,,2,15447,18,8,15429,,270,,2241475846,242,260,15002358,2020,Majd al-Kurum,210
מג'דל שמס,4201,MAJDAL SHAMS,2,29,291,99,,2,11267,1,,11265,,270,,2721779659,1229,256,10004579,2020,Majdal Shams,211
מגאר,481,MUGHAR,2,22,222,99,,2,23275,24,14,23251,,260,,2388975470,147,251,10004552,2020,Mughar,214
מגדים,689,MEGADIM,3,32,321,15,223,1,1380,1380,1355,,1949,310,1,1964573727,15,303,10004710,2020,Megadim,
מגדל,65,MIGDAL,2,22,221,99,,1,1980,1935,1881,45,1910,350,,2474474935,-86,251,10004552,2020,Migdal,214
מגדל העמק,874,MIGDAL HAEMEQ,2,23,237,0,,1,25722,25716,22921,5,1952,160,,2231073152,205,221,10004411,2020,Migdal HaEmeq,213
מגדל עוז,3561,MIGDAL OZ,7,76,,76,445,1,576,576,575,,1977,330,3,2135961641,939,714,15000586,2020,Migdal Oz,
מגדל תפן,1722,,2,24,243,99,,,,,,,,520,,2261576449,646,255,10004484,2020,,212
מגדלים,3751,MIGDALIM,7,72,,72,,1,505,505,492,,1983,370,11,2324866637,775,710,15004488,2020,Migdalim,
מגידו,586,MEGIDDO,2,23,234,13,,1,848,848,826,,1949,330,15,2171372068,153,254,10004411,2020,Megiddo,213
מגל,375,MAGGAL,3,32,324,14,,1,1149,1149,1138,,1953,330,15,2033569910,70,351,15002436,2020,Maggal,
מגן,695,MAGEN,6,62,622,38,,1,535,527,485,8,1949,330,15,1454357893,119,651,10001893,2020,Magen,620
מגן שאול,1155,MAGEN SHA'UL,2,23,234,8,,1,705,705,575,,1976,310,1,2291471412,83,204,10004394,2020,Magen Sha'ul,213
מגשימים,722,MAGSHIMIM,4,42,422,20,132,1,1089,1087,1083,2,1949,310,10,1906066152,52,417,10002116,2020,Magshimim,410
מדרך עוז,2029,MIDRAKH OZ,2,23,234,13,,1,794,794,741,,1952,310,1,2151572230,128,254,10004411,2020,Midrakh Oz,213
מדרשת בן גוריון,1140,MIDRESHET BEN GURION,6,62,626,48,,1,1958,1955,1855,3,1965,350,,1790952918,472,620,10001918,2020,Midreshet Ben Gurion,610
מדרשת רופין,897,MIDRESHET RUPPIN,4,41,411,16,141,1,226,120,115,107,1948,340,,1919269429,25,409,15000060,2020,Midreshet Ruppin,
